Rank,Player,3P
1,Ray Allen,2973
2,Reggie Miller,2560
3,Jason Terry,2282
4,Kyle Korver,2232
5,Stephen Curry,2191
6,Jamal Crawford,2169
7,Paul Pierce,2143
8,Vince Carter,2133
9,Jason Kidd,1988
10,Joe Johnson,1978
11,J.R. Smith,1929
12,Dirk Nowitzki,1918
13,Chauncey Billups,1830
14,Kobe Bryant,1827
15,Rashard Lewis,1787
16,Peja Stojakovic,1760
17,Dale Ellis,1719
18,James Harden,1707
19,Steve Nash,1685
20,LeBron James,1660
21,Klay Thompson,1613
22,Jason Richardson,1608
23,Mike Miller,1590
24,Glen Rice,1559
25,Eddie Jones,1546
26,Tim Hardaway,1542
27,Nick Van Exel,1528
28,J.J. Redick,1525
29,Mike Bibby,1517
30,Manu Ginobili,1495
31,Kevin Durant,1460
32,Michael Finley,1454
33,Wesley Matthews,1442
34,Kyle Lowry,1421
35,Brent Barry,1395
36,Antoine Walker,1386
37,Carmelo Anthony,1362
38,Dan Majerle,1360
39,Trevor Ariza,1347
40,Baron Davis,1332
41,Mitch Richmond*,1326
42,Ryan Anderson,1322
43,Damian Lillard,1321
44,Allan Houston,1305
45,Mike Dunleavy,1304
46,Terry Porter,1297
47,Mookie Blaylock,1283
48,Eric Gordon,1274
49,Vernon Maxwell,1256
50,Clifford Robinson,1253
51,Stephen Jackson,1252
52,Shane Battier,1250
53,Derek Fisher,1248
54,Hedo Turkoglu,1246
55,Dell Curry,1245
56,Jason Williams,1238
57,Damon Stoudamire,1236
58,Hersey Hawkins,1226
59,John Starks,1222
60,Chuck Person,1220
61,Dennis Scott,1214
62,Paul George,1203
63,C.J. Miles,1187
64,Deron Williams,1178
65,Chris Paul,1175
66,Kirk Hinrich,1172
67,Ben Gordon,1171
68,Quentin Richardson,1167
69,Antawn Jamison,1163
70,Lou Williams,1158
71,Metta World Peace,1154
72,Jameer Nelson,1153
73,Wesley Person,1150
74,Steve Smith,1148
75,Nicolas Batum,1144
76,Kevin Martin,1141
77,Gary Payton*,1132
78,David Wesley,1123
79,Randy Foye,1104
79,Latrell Sprewell,1104
81,Kemba Walker,1096
82,Mo Williams,1094
83,Dana Barros,1090
84,Rasheed Wallace,1086
85,Cuttino Mobley,1085
86,Tracy McGrady*,1081
87,Gilbert Arenas,1079
88,Lindsey Hunter,1075
89,Derek Harper,1070
90,Allen Iverson*,1059
91,Nick Anderson,1055
92,Michael Redd,1045
93,Richard Jefferson,1042
94,Steve Blake,1037
95,Nick Young,1036
96,James Posey,1035
97,Kevin Love,1031
98,Marco Belinelli,1030
99,Channing Frye,1020
100,Danny Green,1016
101,Morris Peterson,1009
102,Danny Granger,1006
103,Danny Ainge,1002
104,Rafer Alston,996
105,Stephon Marbury,991
106,Joe Dumars*,990
107,Jerry Stackhouse,988
107,Leandro Barbosa,988
109,Matt Barnes,982
110,Scottie Pippen*,978
111,Al Harrington,977
112,Walt Williams,976
112,Mark Price,976
114,Mike Conley,974
115,Vladimir Radmanovic,971
116,Tim Thomas,962
117,Raja Bell,956
118,Andre Iguodala,951
119,Michael Adams,949
120,D.J. Augustin,943
121,Damon Jones,941
122,Anthony Peeler,940
123,Voshon Lenard,936
124,Chucky Atkins,934
124,Kyrie Irving,934
126,Darrell Armstrong,923
127,Isaiah Thomas,921
128,George McCloud,920
129,Danilo Gallinari,916
130,Brandon Jennings,914
131,Rasual Butler,911
132,Raymond Felton,909
